"Country","ISO3","Specie","Breed/Most common name","Year","dna samples","dna donors total","dna donors males","dna donors females","embryos samples","embryos donors total","embryos donors males","embryos donors females","somatic cells samples","somatic cells donors total","somatic cells donors males","somatic cells donors females","semen samples","semen donors males","oocytes samples","oocytes donors females","sufficient","organisation","collected by","Geographical classification","Last update"
"Costa Rica","CRI","Pig","PIC","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Costa Rica","CRI","Pig","Pelon","2020","","","","","","","","","","","","","","","","","","","","Regional","16-Sept-2020"
"Costa Rica","CRI","Pig","Segher","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Costa Rica","CRI","Pig","Yorkshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Czechia","CZE","Pig","Belgická Landrase","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Czechia","CZE","Pig","Bile otcovske","2011","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","16-Sept-2020"
"Czechia","CZE","Pig","Ceska landrase","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Czechia","CZE","Pig","Ceske bile uslechtile","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Czechia","CZE","Pig","Ceske vyrazne masne","2006","","","","","","","","","","","","","","5","","","","","Institute of Animal Science Kostelec nad Orlicí","Local",""
"Czechia","CZE","Pig","Ceske vyrazne masne","2011","","","","","0","0","0","0","0","0","0","0","680","0","0","0","","","","Local","16-Sept-2020"
"Czechia","CZE","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Czechia","CZE","Pig","Hampshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Czechia","CZE","Pig","Pietrain","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Czechia","CZE","Pig","Presticke cernostrakate","2011","0","0","0","0","0","0","","0","0","0","0","0","7200","76","0","0","","","","Local",""
"Czechia","CZE","Pig","Presticke cernostrakate","2013","0","0","0","0","0","0","","0","0","0","0","0","7350","78","0","0","","","","Local",""
"Czechia","CZE","Pig","Presticke cernostrakate","2014","0","0","0","0","0","0","","0","0","0","0","0","8250","80","0","0","","","","Local",""
"Czechia","CZE","Pig","Presticke cernostrakate","2019","","","","","0","0","0","0","0","0","0","0","13340","112","0","0","","","","Local","16-Sept-2020"
"Czechia","CZE","Pig","Presticke cernostrakate","2022","0","0","0","0","0","0","0","0","0","0","0","0","23067","134","0","0","","","","Local","25/1/2024"
"Germany","DEU","Pig","Angler Sattelschwein","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Germany","DEU","Pig","Berkshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Germany","DEU","Pig","Bunte Bentheimer","2020","","","","","","","","","","","","","","","","","","","","Regional","16-Sept-2020"
"Germany","DEU","Pig","Deutsche Landrasse","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Germany","DEU","Pig","Deutsche Landrasse B","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Germany","DEU","Pig","Deutsches Edelschwein - Large White","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Germany","DEU","Pig","Deutsches Edelschwein \ Large White","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Germany","DEU","Pig","Deutsches Sattelschwein","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Germany","DEU","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
