"Country","ISO3","Specie","Breed/Most common name","Language","Description","Transboundary name","Other name","Breed classification (adaptedness)","Breed classification (geographic)","Provision Uses","Regulation and Maintenance Uses","Cultural Uses","Description Of Specific Uses","Production environment/management systems","Literature related to uses and ecosystem services","Additional information","Additional information comments","Efabis cultural role comment","Efabis cultural value","Adaptability to specific environment","Specific resistance or tolerance","Specific reproductive characteristic","Special characteristic of product","Other special qualities","Reference for special qualities","Efabis genetic features","Efabis environmental role","Efabis adaptability to marginal land","Body conformation","Coat description","Coat quality","Comb type","Skin colour","Shank and foot colour","Plumage colour","Pattern within feather","Avian classification","Egg shell colour","Color comments","Efabis main colour","Efabis skin colour","Number of horns males","Number of horns females","Horn shape size and comments","Wither height males","Wither height females","Weight males","Weight females","Other specific visible traits","Herdbook","Herdbook established","Domestication status","Taxonomic classification","Description of origin","Year of origin","Import","Location within country","Eggs per year AVG","Eggs per year MIN","Eggs per year MAX","Egg weight","Wool or hair","Wool type","Fleece weight AVG","Fleece weight MIN","Fleece weight MAX","Fibre diam","Management system","Feeding of adults","Mobility","Milk per year AVG","Milk per year MIN","Milk per year MAX","Lactation length (day) AVG","Lactation length (day) MIN","Lactation length (day) MAX","Milk yield per lactation (kg) AVG","Milk yield per lactation (kg) MIN","Milk yield per lactation (kg) MAX","Milk fat AVG (%)","Milk fat MIN (%)","Milk fat MAX (%)","Milk per day (kg)","Number of lactations","Efabis milk protein AVG","Efabis milk protein MIN","Efabis milk protein MAX","Birth weight males","Birth weight females","Age maturity males","Age maturity females","Age breeding males","Age breeding females","Age first parturition (month) AVG","Age first parturition (month) MIN","Age first parturition (month) MAX","Parturition interval (day) AVG","Parturition interval (day) MIN","Parturition interval (day) MAX","Length productive life (years)","Daily gain","Carcass weight (kg)","Dressing percentage (%)","Performance data reference","Management conditions performance measured","Comments management conditions","Additional performance parameters","Litter size AVG","Litter size MIN","Litter size MAX","Local cryo conservation status","Local Risk","Detailed local risk status","Regional Transboundary Risk (detailed)","International Transboundary Risk (detailed)","A breeding programme is implemented for the breed","Animal identification","Breeding goal defined","Performance recording","Pedigree recording","Genetic evaluation (classic approach)","Genetic evaluation including genomic information","Management of genetic variation","Artificial insemination","Breeding method applied"
"China","CHN","Pig","Taihu - Hengjing","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","63","181","99.5","","","","Domestic","Variety","variety of Taihu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Taihu - Jiaxing Black","eng.","","","","","Local","","","","","","","","","","","","","This breed is known for prolificacy. Sexual maturity is reached at 2.5 months of age.","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","77","69","128","103","8-9 pairs of teats","","","Domestic","Variety","variety of Taihu","","","North-eastern Zhejiang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F46-162 FAO Breed Survey","","","","","15.02","17.5","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Taihu - Meishan","","","Meishan","Mai Schan","","International","","","","","","","","","","","","","This breed is known for prolificacy.","","","","","","","","","","","","","","","","","uni coloured: black with white feet","","","","","","84","71","160","147","rough and thick skin, 8-9 pairs of teats","","","Domestic","Variety","variety of Taihu: There are two sub-types: Middle Meishan and Small Meishan. These sub-types are maintained in separate breeding populations.","","","northern Shanghai","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","F46-162 FAO Breed Survey Pig Breeds in China and Taihu Pigs of China","","","","15.6","","","No Information","Unknown","Unknown","","Unknown","","","","","","","","","",""
"China","CHN","Pig","Taihu - Mi","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","68","151.4","119","","","","Domestic","Variety","variety of Taihu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FAO Breed Survey Pig Breeds in China & Taihu pigs in China","","","","14.65","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Taihu - Shawutou","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","69","159","134.5","","","","Domestic","Variety","variety of Taihu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Taiwan","","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","","","99.4","79.2","The head is short and large, with large and drooping forward ears, wrinkled forehead and flank. The back is narrow and lightly dished, the ribs mostly straight, and the belly large and drooping (not reaching ground), the rump pitching, the legs are weak and sleeping pastern, the body skin is thick.","","","Domestic","Breed","","","","Taiwan Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Taiwan Small Red","eng.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: red","","","","","","","","","","primitive; slightly dished wrinkled face; short ears; strait tail; stiff mane (male)","","0","Domestic","Variety","origin from local Taiwan wild x South China","","","Wushe, Taiwan Province of China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Extinct","Extinct","","","","","","","","","","","",""
"China","CHN","Pig","Taiwan Small-ear","eng.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","","","","","long straight face; very small ears; primitive","","0","Domestic","Variety","probable origin from local Taiwan wild x South China:","","","South-western Taiwan Province of China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Extinct","Extinct","","","","","","","","","","","",""
"China","CHN","Pig","Taoyuan","","","","Chung-li, Lung-Tan-Po, T'Ao-Yuan","","Local","Lard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black, dark grey","","","","","","58","58","94.6","94.6","lop ears, wrinkled skin, straight tail","","","Domestic","Breed","descended from South China","","","North-western Taiwan Province of China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.8","","","","","","","","","","","","","","81","N18-7","Performance data were collected at the Taiwan Livestock Research Institute.","","- feed conversion from 30 to 90 kg body weight is 4.59;","11.3","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Tibetan","eng.","","","Zangzhu","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black, occasionally brown","","","","","","40","50","35.9","40.9","small conformation, long and straight rectangle snout, narrow forehead and face, small size and erect (or extending forward) ears, short body, narrow chest, flat and straight or slightly dished back, neat underline, higher hind quarters, lightly pitching rump, fine and tight built legs, straight and strong hooves, dense and long mane (93-250g every pig).","","","Domestic","Breed","","","","A'ba and Ganzi Prefectures of Sichuan Province; Shannan and Changdu Prefectures of the Tibet Autonomous Region, Diqing Prefecture of Yunnan Province, Gannan Prefecture of Gansu Province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","173","","","F46-162 FAO Breed Survey","","","","5.5","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Tibetan - Hezuo","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","","44","33.31","35.84","small size, dwarf, long, coarse, dense bristles","","","Domestic","Breed","","","","Gannan Tibetan Autonomous Prefecture, Gansu Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","","","","","","","","","","","","","","","F46-162, 164 FAO Breed Survey","","The animals utilize wild plants well, additional feeding is only provided during harsh winter.","","5.5","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Tingshuanghsi","","","","","","Local","Lard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","similar to Taoyuan but larger frame","","0","Domestic","Variety","","0","","North-eastern Taiwan Province of China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Extinct","Extinct","","","","","","","","","","","",""
"China","CHN","Pig","Wai Chow","","","","Lung Kong, Wei-chou","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","","","","","","","0","Domestic","Variety","variety of Cantonese","0","","Hong Kong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Extinct","Extinct","","","","","","","","","","","",""
"China","CHN","Pig","Wanzhe Spotted","eng.","","","","","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","multi coloured: black-white spotted, the snout, leg ends, chest and the belly are white, the head and rump are black","","","","","","70","55","","94.4","Central China Type. The breed has moderate body conformation. The head is large, with medium-sized and drooping ears. There are wrinkles in the forehead. The back is flat and straight, and the belly large and not drooping.","","","Domestic","Breed","including Wannan spotted and Chun'an spotted.","","","Lantian and Nantang Districts of Xiuning County of An'hui province and Chun'an county of Zhejiang province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","","","","","","4","5","","","","","","","68.7","FAO Breed Survey","","","","8.6","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wanzhe Spotted - Wannan Spotted","eng.","","","Lantian Spotted","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Variety","variety of Wanzhe Spotted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wanzhe Spotted-Chunan Spotted","eng.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","54","69","60","","","","Domestic","Variety","variety of Wanzhe Spotted","","","Chunan County, Zhejiang Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.25","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wei","chin.","","","Xuancheng Pig, Wannan Black","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","68","61","25.6","32.1","Lower Changjiang Basin type. The breed has moderate body conformation and uniform and fine constitution. The head is medium-sized, there are disorder and different depth wrinkles, some are called """"herring head"""", and some called """"lion head"""". The former is more than the latter, with large,suggestible drooping forward ears. The chest is wide; the back lightly concaved, the females belly large and drooping, mostly reaching ground in the rear-gestation period.","","","Domestic","Breed","","","","Yicheng prefecture of An'hui Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72","0.81","","","","","","","","","","","","244","","70.6","Pig Breeds in China & Local (Anhui Province)","","","","10","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wujin - Kele","chin.","","","","","Local","Lard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","","54","62.2","65.6","South-west China Type","","","Domestic","Breed","","","","Guizhou Mountains, Yunnan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","0.76","","","","","","","","","","","","","","","F46-162 FAO Breed Survey","","","","","9","11","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wujin - Liangshan","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","Mountains of Sichuan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wujin - Zhaotong","English","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wujin - dahe","chin.","","","","","Local","","","Research","used for the production of top quality Ham","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: usually black occasionally brown","","","","","","54","60","48","69","small size, South-west China Type. rough and strong constitution, long head, wide and straight snout, swirls in the forehead, medium size and drooping ears, narrow body flat and straight back, higher hind quarters, plump rump and ham, rumpled skin lower half legs.","","","Domestic","Breed","including Kele, Weining, Dahe and Liangshan Pig.","","","Located in the Wumeng, Daliang and Xiaoliang Mountains, bordered by Sichuan, Hubei and Hunan Provinces.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","","","","","","","","","","","200","","71.8","FAO Breed Survey","","","","7.1","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wuyi Black","","","","","","Local","","","","","","","","","","","","","Early sex maturity.","","","","","","","","","","","","","","","","","uni coloured: from grey to black","","","","","","67","61","90.16","89.8","Central China Type. The head is medium-sized, with thick, medium-sized inclined forward ears, long lightly dished face, and short neck. The back is flat and straight or lightly concaved, and the legs are sturdy and slender.","","","Domestic","Breed","including Minbei black and Gandong black.","","","Counties at the foot of Wuyi Mountain, Nancheng county of Jiangxi Province and Pucheng county of Fujian province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","72","FAO Breed Survey","","","","8.6","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wuzhishan","","","","Shan, Laoshu","","Local","Meat","","","","","","","","","","","good resistance.","","","","","","","","","","","","","","","","","","multi coloured: mostly black, and the belly and the inside of the legs are white, the mane is black or brown","","","","","","38","38","32","32.5","South China Type, The breed has small body conformation, with fine and tight constitution, with small and long head, small and erect ears, smooth and lightly bended snout, narrow chest, flat and straight back, undraping belly, steep rump, and trim long legs.","","","Domestic","Breed","","","","Wuzhishan mountain region of Hainan province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","","","","","","","","","","","","","","F80-208 FAO Breed Survey","","This breed is kept outside during the day and housed during the night.","The breed has a low daily gain and is growing slowly.","7","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Wuzhishan - Shanzhu","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","76","66","125","","lop ears","","","Domestic","Breed","variety of Huai-Hai-Black Pig group","","","along Huai River, Jiangsu Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","Pig Breeds in China","","","","11.7","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Xiang","chin.","","","","","Local","Meat","","","","","","","","","","","The males grow slowly.","Early sex maturity and begin to be bred at the age of 170 days and 120 days for males and females respectively.","The meat is delicious and used to make preserved ham and roast suckling pig.","","","","","","","","","","","","","","","","multi coloured: black usually with white belly and feet","","","","","","47","46","40","41.1","South China Type. The body conformation is small, with lightly straight head, small, thin and lightly extended forward or lightl drooping ears, wide and lightly concaved back, large, reaching ground belly, plump and sleeping pastern, short and trim legs.","","","Domestic","Breed","","","","Congjiang County, Guizhou Province; Huanjiang County, Guangxi Zhuang Autonomous Region","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","","","","","","","","","","","","397","","65.7","F80-208 FAO Breed Survey","","","","6","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Xiangcheng","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","Henan Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Extinct","Extinct","","","","","","","","","","","",""
"China","CHN","Pig","Xiangxi Black","","","","","","Local","","","","","","","","","","","","","Early sex maturity and begin to show estrus sigh at the age of 4-6 months and 3-4 months for males and females respectively.","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","69","61","113.3","85.3","Central China Type. The breed is large-framed with strong constitution, and classified into long head type and short head type. There are ununiform depth of Chinese character wrinkles in the forehead. The ears are drooping. The body side is lightly long, with flat and wide back, large but not reaching ground belly, lightly pitching rump, strong and straight legs.","","","Domestic","Breed","including Taoyuan black, Pushi black and Daheping pig.","","","Middle and lower reaches of Yuanjiang River in Hunan province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.2","FAO Breed Survey","","","","8.9","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Xianjuhua","","","","Xianju Spotted","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","multi coloured: black and white spotted","","","","","","","","71.4","67","The breed has moderate body conformation. The ear root is a hard, and medium-sized and heavy drooping ear. The head is classified into """"mouse head"""" and """"shoos head"""", and wide and deep chest, square, flat and straight back, long and neat loin, large and slightly belly, long legs.","","","Domestic","Breed","indigenous breed","","","Xianju county of Zhejiang province, distributing in Linhai, Huangyan and other counties.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","","65.1","","","","","10.7","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Xin Huai","","","","Xin Huai, Xinhuai","","Local","Meat","","","","","","","","","","","","This breed is known for high prolificacy.","","This breed is widely adapted. Furthermore, this breed is known for a rapid growth.","","","","","","","","","","","","","","","uni coloured: black","","","","","","87","75","244","185","","y","","Domestic","Breed","composite of Yorkshire, Berkshire (male) and Huai (female)","","","Huaiyin Region, Jiangsu Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","7","6","","","","","","","","610","","","Data forwarded from EAAP in 1991 FAO Breed Survey","","","","","9","13","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Xinjin - Ningan","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","74","200","185","","","","Domestic","Breed","","","","Heilongjiang Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Yanan","chin.","","","","","Local","Lard","","","","","","","","","","","","Early sex maturity and begin to be bred at the age of 3-5 and 5-7 months for males and females respectively in the country.","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","68","63","96","74","South-west China Type. large uniform body conformation, slightly long and narrow body, long snout, flat and straight back, lightly pitching hind legs, lack plumpness rump, large belly and slightly pitching rump.","","","Domestic","Breed","","","","Yanan, Danleng, Qiulai and Rongxian counties of Sichuan province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.87","0.87","","","","","","","","","","","6.5","620","","73","FAO Breed Survey","","The pigs are fed on household scraps and concentrates.","","9.3","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Yangxin","chin.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni colour: black, sometimes white spotted forehead and belly","","","","","","59","68","128","94","The breed has moderate body conformation. It is classified into """"lion head"""" and """"trunk head"""" types. The former head is short and wide, with many deep diamond-shaped wrinkles, upward setting snout, while the latter long and small head, long snout. The breed has large and drooping ears, the back lightly concaved, the belly large and not reaching ground, the rump pitching, the legs strong, the hooves sturdy.","","","Domestic","Breed","Lower Changjiang Basin type","","","The central producing area is located in Mugang, Cengguan and Fenglin areas of Yangxin County, Hubei province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","0.69","","","","","","","","","","","","","","71.7","FAO Breed Survey","","","","10.5","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Yayang","","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","","","126.8","97.1","The breed has strong body conformation, and it is classified into coarse and neat types. The former is large and drooping ears, large head, wide forehead, half double-backed, square chest, flat and straight loin, rough legs; while the latter small and drooping ears, small head, distinct soft loin, trim and strong legs.","","","Domestic","Breed","indigenous breed","","","The breed is native to the Yayang Prefecture, Zhejiang Province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","","74.5","","","","","","10","11","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Yili White","eng.","","","","","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","73","170","140","","","","Domestic","Breed","composite of Russian Large White and Local White","","","North-western Xinjiang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25","1.25","","","","","","","","","","","","","","","FAO Breed Survey","","","","9.5","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Yimeng Black","eng.","","","","","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","81","71","199","154.3","North China Type. The breed is medium-framed: moderate-sized head, medium-sized, strong-root and inclined forward ears, short and slightly upper erect snout. There is """"jinqian"""" winkles in its wide forehead.","","","Domestic","Breed","","","","The border area of the Yinan, Yishui and Lunan Counties in the South of Linyi Prefecture, Shandong province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.7","","","","","","","","","","","","550","","76.3","FAO Breed Survey","","The pigs are fed on household scraps and concentrates.","","10","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Yorkshire","eng.","","Large White","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"China","CHN","Pig","Yuedong Black","","","","""""hexia tou""""","","Local","","","","","","","","","","","","","Early sex maturity.","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","63","53","74.9","58.5","South China Type. The breed has rectangle body conformation, with neat and trim head, wide and flat forehead, fairly small and inclined erect ears, lightly long and smooth snout, trim jowl. The back and loin are wide and concaved. The belly is lightly large but not reaching ground. The legs are straight, sound and moderately long.","","","Domestic","Breed","","","","Huiyang, Raoping and Jiaoling counties in Guangdong province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281","","70.3","FAO Breed Survey","","The pigs are fed on household scraps and concentrates.","","10","9.3","11.3","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Yujiang","","","","Yushan Black","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: black","","","","","","62","54","84.2","75.6","Central China Type. The breed has small body conformation and loose constitution, with medium-sized and drooping ears, wide short upward snout, short and plump neck, wide and lightly concaved loin, medium-sized belly, lightly plump and pitching rump, short and sturdy legs.","","","Domestic","Breed","including Yushan black, Guangfeng black and Jiangshan black.","","","Yushan county of Jiangxi province and Jiangshan county of Zhejiang Province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.7","","","","","","","","","","","","","","72.5","FAO Breed Survey","","","","9.8","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"China","CHN","Pig","Zhejiang Middle large","","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Côte d'Ivoire","CIV","Pig","Korhogo","","","Korhogo","","Locally adapted","Regional","Meat","","Tourist attraction / touristic potential","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","60","","","","Domestic","Breed","composite of Berkshire and (Large White x local West African)","from 1930 onwards","","southern Ivory Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","10","No Material","Unknown","Unknown","Unknown","","No","No","No","","","","","","",""
"Côte d'Ivoire","CIV","Pig","locale","fr.=local","","","","Native","Local","Meat, Saving security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","40","60","50","","","","Domestic","Breed","indigenous breed","","","country-wide","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","No Material","Unknown","Unknown","","","No","No","No","","","","","","",""
"Cameroon","CMR","Pig","Bakosi","","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Variety","variety of West African","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Cameroon","CMR","Pig","Bamiléké","","","","","","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Cameroon","CMR","Pig","Kousseri","","","","","","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Cameroon","CMR","Pig","Mankon Long Nose","eng.","","","","","Local","Meat","","","","","","","","","","","","prolific","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Democratic Republic of the Congo","COD","Pig","Bandundu","","","","","","Local","","","","","","","","","","","rustic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","small","","","Domestic","Breed","indigenous breed","","","country wide","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","","","","","","","","","","",""
"Democratic Republic of the Congo","COD","Pig","Duroc","fr.","","Duroc","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: red-brown","","","","","","","","","","","","","Domestic","Breed","continually imported","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Democratic Republic of the Congo","COD","Pig","Kasaï","","","","Baluba","","Local","","","","","","","","","","","rustic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","large size compared to the pig of Bandundu","","","Domestic","Breed","indigenous breed","","","provinces of Kasaï and Katanga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","","","","","","","","","","",""
"Democratic Republic of the Congo","COD","Pig","Landrace","eng.","","Landrace","","","International","General crossbreeding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continually imported","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
