Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other
Friesian Red and White,Taurus,—,Meat,Dairy,—,—
Fulani Sudanese,Indicus,—,Meat,Dairy,Draught,—
Galician Blond,Taurus,Spain,Meat,Dairy,—,—
Galloway cattle,Taurus,Scotland,Meat,Dairy,Draught,—
Gangatiri,Indicus,India,—,Dairy,Draught,—
Gaolao,Indicus,India,—,Dairy,Draught,—
Garvonesa,Taurus,Portugal,Meat,—,Draught,—
Gascon cattle,Taurus,France,Meat,—,Draught,—
Gelbvieh,Taurus,Germany,Meat,Dairy,Draught,—
Georgian Mountain cattle,Taurus,Georgia,Meat,Dairy,Draught,—
German Angus,Taurus,Germany,Meat,—,—,—
German Black Pied cattle,Taurus,Germany,—,Dairy,—,—
German Black Pied Dairy,Taurus,Germany,—,Dairy,—,—
German Red Pied,Taurus,Germany,Meat,Dairy,—,—
Gir,Indicus,India,—,Dairy,—,—
Glamorgan cattle,Taurus,England,Meat,Dairy,—,—
Glan cattle,Taurus,Germany,Meat,Dairy,Draught,—
Gloucester,Taurus,England,Meat,Dairy,Draught,—
Gobra,Indicus,—,Meat,—,Draught,—
Greek Shorthorn,Taurus,Greece,Meat,Dairy,—,—
Greek Steppe,Taurus,Greece,Meat,Dairy,Draught,—
Greyman cattle,Taurus/Indicus hybrid,Australia,Meat,—,—,—
Gudali,Indicus,Iran/Persia,—,Dairy,Draught,—
Guernsey cattle,Taurus,Channel Islands,—,Dairy,—,—
Guzerá,Indicus,Brazil,Meat,—,Draught,—
Hallikar[4],Indicus,India,,—,Draught,Origin of Amrit Mahal cattle 
Hanwoo,Taurus,Korea,Meat,—,Draught,Cow fighting 
Hariana cattle,Indicus,India,—,Dairy,Draught,—
Hartón del Valle,Taurus,Colombia,Meat,Dairy,Draught,—
Harzer Rotvieh,Taurus,Germany,Meat,Dairy,Draught,—
Hays Converter,Taurus,Canada,Meat,—,—,—
Heck cattle,Taurus,Germany,—,—,—,Science
Hereford,Taurus,England,Meat,—,—,—
Herens,Taurus,"Switzerland, Italy, France",Meat,—,—,Cow fighting 
Hybridmaster,Taurus/Indicus hybrid,—,Meat,Dairy,—,—
Highland cattle,Taurus,Scotland,Meat,—,—,—
Hinterwald,Taurus,Germany,Meat,Dairy,—,—
Holando-Argentino,Taurus,Argentina,Meat,Dairy,—,—
Holstein Friesian cattle,Taurus,"Germany, the Netherlands",Meat,Dairy,—,—
Horro,Indicus,Ethiopia,Meat,—,Draught,—
Huáng Cattle,Taurus,China,Meat,Dairy,Draught,
Hungarian Grey,Taurus,Hungary,Meat,—,Draught,—
Iberian cattle,—,Spain,—,—,—,—
Icelandic,Taurus,Iceland,—,Dairy,—,—
Illawarra cattle,Taurus,Australia,Meat,Dairy,—,—
Improved Red and White,Taurus,—,Meat,—,—,—
Indo-Brazilian,Indicus,—,Meat,—,—,—
Irish Moiled,Taurus,Ireland,Meat,Dairy,—,—
Israeli Holstein,Taurus,Israel,—,Dairy,—,—
Israeli Red,Taurus/Indicus hybrid,Israel,Meat,Dairy,—,—
Istoben cattle,Taurus,—,Meat,Dairy,—,—
Istrian cattle,see Boškarin,,,,,
Jamaica Black,Taurus/Indicus hybrid,Jamaica,Meat,Dairy,—,—
Jamaica Hope,Taurus/Indicus hybrid,Jamaica,—,Dairy,—,—
Jamaica Red,Taurus/Indicus hybrid,Jamaica,Meat,—,—,—
Japanese Black,Taurus,Japan,Meat,—,—,One of the four wagyu breeds 
Japanese Brown,Taurus,Japan,Meat,—,—,One of the four wagyu breeds 
Japanese Polled,Taurus,Japan,Meat,—,—,One of the four wagyu breeds 
Japanese Shorthorn,Taurus,Japan,Meat,—,—,One of the four wagyu breeds 
Jarmelista,Taurus,Portugal,Meat,—,Draught,—
